Enteros,Flotantes,Texto,Fechas,Booleanos,Categoría,Tiempo Delta
?,1.1,c,2023-03-01 00:00:00,,?,?
4,?,?,2023-01-01 00:00:00,False,alta,5 days 00:00:00
4,4.4,a,2023-01-01 00:00:00,?,,
3,5.5,e,,,baja,?
4,1.1,?,?,True,alta,1 days 00:00:00
5,3.3,a,2023-05-01 00:00:00,False,media,3 days 00:00:00
?,4.4,e,2023-05-01 00:00:00,True,media,
3,1.1,c,?,,,1 days 00:00:00
4,5.5,,?,False,alta,5 days 00:00:00
3,2.2,c,2023-05-01 00:00:00,False,baja,
5,1.1,d,?,,?,5 days 00:00:00
nan,2.2,?,2023-03-01 00:00:00,?,alta,3 days 00:00:00
1,?,a,,?,baja,3 days 00:00:00
1,3.3,b,2023-03-01 00:00:00,False,baja,1 days 00:00:00
5,1.1,a,?,?,media,5 days 00:00:00
nan,1.1,a,,False,alta,?
1,2.2,e,2023-05-01 00:00:00,True,?,
3,5.5,a,,False,?,5 days 00:00:00
2,nan,a,2023-03-01 00:00:00,True,alta,5 days 00:00:00
5,5.5,?,,?,media,
3,?,c,2023-01-01 00:00:00,True,,3 days 00:00:00
nan,nan,?,?,,baja,5 days 00:00:00
4,4.4,a,,False,media,3 days 00:00:00
4,4.4,e,?,True,baja,
nan,1.1,b,?,False,,
4,nan,d,2023-01-01 00:00:00,False,?,1 days 00:00:00
?,2.2,,2023-03-01 00:00:00,?,media,1 days 00:00:00
2,5.5,,2023-05-01 00:00:00,False,media,?
nan,?,123,?,False,,
5,1.1,b,?,?,media,?
2,5.5,b,?,?,alta,5 days 00:00:00
nan,2.2,e,2023-03-01 00:00:00,?,media,?
?,4.4,d,2023-03-01 00:00:00,,alta,5 days 00:00:00
2,2.2,123,2023-03-01 00:00:00,,baja,
5,2.2,d,2023-05-01 00:00:00,False,alta,1 days 00:00:00
1,?,a,?,?,media,5 days 00:00:00
3,2.2,123,2023-05-01 00:00:00,?,?,3 days 00:00:00
?,?,d,2023-05-01 00:00:00,True,,5 days 00:00:00
nan,5.5,?,2023-05-01 00:00:00,True,alta,
5,2.2,d,,?,baja,
nan,nan,a,,True,alta,3 days 00:00:00
3,2.2,a,2023-05-01 00:00:00,?,,
1,1.1,123,2023-03-01 00:00:00,True,?,1 days 00:00:00
4,3.3,e,2023-05-01 00:00:00,True,baja,
1,nan,,?,?,,5 days 00:00:00
2,1.1,e,2023-03-01 00:00:00,False,alta,?
4,5.5,b,,True,baja,5 days 00:00:00
5,3.3,123,?,False,media,5 days 00:00:00
5,nan,a,2023-03-01 00:00:00,True,baja,
4,3.3,d,2023-01-01 00:00:00,True,media,3 days 00:00:00
4,2.2,123,2023-01-01 00:00:00,True,media,
5,?,b,?,?,,3 days 00:00:00
nan,?,123,2023-05-01 00:00:00,False,baja,3 days 00:00:00
nan,1.1,?,2023-01-01 00:00:00,,media,5 days 00:00:00
?,nan,b,,,alta,3 days 00:00:00
3,3.3,c,,True,,5 days 00:00:00
2,5.5,?,2023-03-01 00:00:00,?,alta,
3,nan,a,,False,alta,1 days 00:00:00
4,nan,123,2023-03-01 00:00:00,,?,?
3,3.3,e,2023-05-01 00:00:00,?,?,3 days 00:00:00
3,1.1,123,,,alta,5 days 00:00:00
3,5.5,a,2023-05-01 00:00:00,,,1 days 00:00:00
?,nan,,2023-01-01 00:00:00,True,?,5 days 00:00:00
3,3.3,a,2023-01-01 00:00:00,False,baja,1 days 00:00:00
2,2.2,?,2023-01-01 00:00:00,?,media,5 days 00:00:00
4,nan,a,,?,?,
nan,5.5,b,2023-05-01 00:00:00,False,alta,5 days 00:00:00
4,3.3,c,2023-03-01 00:00:00,False,?,3 days 00:00:00
?,2.2,e,2023-03-01 00:00:00,,media,3 days 00:00:00
3,?,123,2023-01-01 00:00:00,,,3 days 00:00:00
4,2.2,b,2023-03-01 00:00:00,,?,3 days 00:00:00
2,?,123,?,,,1 days 00:00:00
3,3.3,,2023-01-01 00:00:00,False,?,3 days 00:00:00
1,5.5,e,2023-05-01 00:00:00,,media,1 days 00:00:00
?,nan,,,True,media,
nan,5.5,c,2023-01-01 00:00:00,,media,3 days 00:00:00
4,3.3,d,2023-03-01 00:00:00,True,,3 days 00:00:00
2,4.4,b,2023-03-01 00:00:00,False,media,3 days 00:00:00
2,4.4,d,2023-01-01 00:00:00,False,baja,
2,nan,b,,,media,?
5,1.1,e,2023-03-01 00:00:00,?,media,
?,nan,?,2023-03-01 00:00:00,,alta,5 days 00:00:00
5,4.4,a,,?,media,5 days 00:00:00
5,4.4,e,2023-03-01 00:00:00,?,baja,?
5,5.5,e,?,False,?,3 days 00:00:00
4,5.5,b,2023-03-01 00:00:00,False,baja,
2,?,b,2023-05-01 00:00:00,True,media,1 days 00:00:00
2,nan,d,2023-01-01 00:00:00,?,media,5 days 00:00:00
?,1.1,b,?,True,,3 days 00:00:00
3,1.1,?,?,?,media,
5,nan,b,2023-05-01 00:00:00,?,alta,?
?,nan,e,2023-03-01 00:00:00,False,?,?
5,nan,?,2023-03-01 00:00:00,False,alta,3 days 00:00:00
4,?,d,?,,,1 days 00:00:00
4,5.5,,,True,baja,5 days 00:00:00
2,2.2,123,,,media,?
1,?,c,?,?,alta,
1,nan,123,,?,baja,?
1,2.2,e,2023-01-01 00:00:00,,alta,3 days 00:00:00
4,1.1,123,2023-01-01 00:00:00,?,baja,
4,nan,?,2023-03-01 00:00:00,True,alta,3 days 00:00:00
1,3.3,123,2023-05-01 00:00:00,,alta,3 days 00:00:00
?,4.4,a,2023-01-01 00:00:00,,baja,5 days 00:00:00
3,nan,c,?,True,media,
5,?,,2023-03-01 00:00:00,,,5 days 00:00:00
?,nan,e,,True,,3 days 00:00:00
nan,nan,,2023-05-01 00:00:00,?,media,
nan,nan,d,2023-01-01 00:00:00,False,?,1 days 00:00:00
1,?,a,2023-03-01 00:00:00,False,alta,1 days 00:00:00
nan,2.2,c,2023-01-01 00:00:00,True,media,5 days 00:00:00
5,3.3,,2023-01-01 00:00:00,False,alta,
nan,3.3,b,,,alta,3 days 00:00:00
3,3.3,,,False,baja,3 days 00:00:00
1,5.5,123,?,True,baja,
1,5.5,?,,False,baja,
4,nan,?,2023-03-01 00:00:00,True,alta,
4,5.5,e,?,False,?,5 days 00:00:00
?,3.3,a,,,?,1 days 00:00:00
?,nan,123,2023-03-01 00:00:00,True,baja,1 days 00:00:00
2,1.1,?,?,,?,3 days 00:00:00
4,4.4,b,2023-05-01 00:00:00,False,baja,?
3,5.5,c,2023-05-01 00:00:00,True,baja,?
3,nan,?,2023-01-01 00:00:00,?,media,
nan,1.1,a,2023-03-01 00:00:00,True,?,
3,nan,a,2023-01-01 00:00:00,True,media,1 days 00:00:00
nan,1.1,e,2023-05-01 00:00:00,?,,3 days 00:00:00
4,?,123,,?,?,5 days 00:00:00
4,4.4,e,?,?,,1 days 00:00:00
1,5.5,d,2023-01-01 00:00:00,False,baja,
4,5.5,,?,,baja,1 days 00:00:00
5,3.3,b,,,?,
?,3.3,123,2023-01-01 00:00:00,,?,5 days 00:00:00
2,nan,,,False,baja,1 days 00:00:00
3,3.3,d,2023-05-01 00:00:00,?,?,5 days 00:00:00
2,?,b,2023-01-01 00:00:00,False,baja,1 days 00:00:00
1,2.2,b,2023-03-01 00:00:00,?,alta,
2,1.1,b,2023-05-01 00:00:00,True,baja,3 days 00:00:00
4,5.5,?,,?,baja,3 days 00:00:00
1,3.3,,,True,baja,3 days 00:00:00
2,3.3,a,2023-05-01 00:00:00,,,5 days 00:00:00
nan,nan,,2023-01-01 00:00:00,True,alta,?
4,1.1,,2023-03-01 00:00:00,False,alta,?
3,3.3,b,2023-01-01 00:00:00,False,baja,3 days 00:00:00
2,?,e,2023-05-01 00:00:00,True,baja,3 days 00:00:00
5,3.3,a,2023-01-01 00:00:00,True,alta,
5,3.3,d,2023-03-01 00:00:00,?,baja,?
?,nan,e,?,True,media,?
5,nan,123,?,False,?,3 days 00:00:00
nan,nan,c,2023-05-01 00:00:00,,media,?
?,nan,,2023-05-01 00:00:00,,?,3 days 00:00:00
3,5.5,e,,False,baja,?
?,5.5,123,,False,?,1 days 00:00:00
?,3.3,e,2023-01-01 00:00:00,,media,?
nan,?,123,2023-01-01 00:00:00,True,alta,3 days 00:00:00
2,4.4,,2023-05-01 00:00:00,True,baja,3 days 00:00:00
5,?,e,2023-03-01 00:00:00,False,,
4,2.2,?,2023-03-01 00:00:00,False,alta,1 days 00:00:00
5,2.2,123,,,,?
3,3.3,c,2023-01-01 00:00:00,True,media,5 days 00:00:00
nan,3.3,c,2023-05-01 00:00:00,True,,5 days 00:00:00
?,?,123,2023-05-01 00:00:00,?,baja,5 days 00:00:00
5,5.5,b,2023-05-01 00:00:00,True,media,1 days 00:00:00
1,4.4,a,2023-05-01 00:00:00,?,media,3 days 00:00:00
2,nan,123,2023-03-01 00:00:00,False,?,
2,3.3,b,2023-05-01 00:00:00,True,,
3,2.2,a,,True,,?
3,nan,c,2023-05-01 00:00:00,,baja,3 days 00:00:00
3,2.2,a,2023-03-01 00:00:00,True,,?
2,2.2,d,?,False,alta,3 days 00:00:00
2,1.1,b,2023-05-01 00:00:00,True,media,5 days 00:00:00
?,nan,d,,,baja,1 days 00:00:00
5,4.4,123,2023-01-01 00:00:00,True,media,1 days 00:00:00
3,1.1,,2023-05-01 00:00:00,,baja,1 days 00:00:00
5,4.4,e,,,?,3 days 00:00:00
4,1.1,?,2023-01-01 00:00:00,?,baja,1 days 00:00:00
2,3.3,c,2023-01-01 00:00:00,?,media,5 days 00:00:00
2,3.3,,?,?,media,1 days 00:00:00
4,?,d,2023-01-01 00:00:00,,alta,1 days 00:00:00
1,5.5,,2023-05-01 00:00:00,True,baja,3 days 00:00:00
?,?,123,2023-01-01 00:00:00,False,alta,1 days 00:00:00
nan,1.1,e,2023-05-01 00:00:00,?,,
3,2.2,b,,?,?,5 days 00:00:00
1,3.3,e,?,?,,
4,nan,c,,,?,3 days 00:00:00
2,?,a,2023-01-01 00:00:00,False,baja,3 days 00:00:00
5,?,d,2023-01-01 00:00:00,,alta,3 days 00:00:00
5,?,123,2023-01-01 00:00:00,,,5 days 00:00:00
1,2.2,,2023-01-01 00:00:00,False,media,3 days 00:00:00
5,3.3,a,?,True,media,
?,2.2,c,?,,baja,3 days 00:00:00
?,3.3,c,2023-03-01 00:00:00,,?,3 days 00:00:00
2,5.5,a,2023-01-01 00:00:00,,alta,?
4,3.3,?,,False,baja,5 days 00:00:00
5,4.4,a,?,,,3 days 00:00:00
2,2.2,a,2023-03-01 00:00:00,?,media,3 days 00:00:00
4,nan,,2023-05-01 00:00:00,,,5 days 00:00:00
2,4.4,,2023-01-01 00:00:00,True,baja,
?,?,123,2023-03-01 00:00:00,True,alta,
4,1.1,e,?,False,media,1 days 00:00:00
3,5.5,123,?,,?,1 days 00:00:00
2,2.2,?,2023-05-01 00:00:00,?,?,3 days 00:00:00
nan,4.4,123,?,False,media,3 days 00:00:00
2,1.1,e,2023-03-01 00:00:00,?,,
?,4.4,e,2023-03-01 00:00:00,True,media,1 days 00:00:00
2,1.1,e,2023-01-01 00:00:00,True,media,1 days 00:00:00
3,4.4,e,?,True,media,1 days 00:00:00
4,nan,e,,True,?,1 days 00:00:00
3,nan,d,?,False,media,1 days 00:00:00
3,?,?,2023-05-01 00:00:00,?,alta,
?,3.3,c,2023-03-01 00:00:00,,baja,3 days 00:00:00
1,nan,,2023-03-01 00:00:00,False,media,3 days 00:00:00
2,2.2,e,2023-01-01 00:00:00,True,media,3 days 00:00:00
2,3.3,?,?,False,media,3 days 00:00:00
2,?,123,2023-05-01 00:00:00,?,?,?
nan,nan,?,2023-03-01 00:00:00,,alta,1 days 00:00:00
3,4.4,,2023-03-01 00:00:00,False,baja,1 days 00:00:00
2,5.5,b,2023-01-01 00:00:00,?,alta,
?,4.4,c,,True,baja,1 days 00:00:00
3,2.2,?,2023-05-01 00:00:00,,?,1 days 00:00:00
nan,?,,2023-01-01 00:00:00,False,baja,
4,3.3,?,2023-03-01 00:00:00,?,media,
2,4.4,a,2023-01-01 00:00:00,False,media,5 days 00:00:00
1,2.2,,2023-03-01 00:00:00,?,baja,
4,4.4,b,2023-03-01 00:00:00,True,alta,
2,1.1,e,?,,media,5 days 00:00:00
3,nan,a,?,?,alta,?
2,1.1,c,?,True,alta,1 days 00:00:00
3,1.1,c,2023-05-01 00:00:00,False,alta,5 days 00:00:00
?,3.3,123,2023-01-01 00:00:00,True,alta,5 days 00:00:00
5,?,d,,False,,3 days 00:00:00
?,4.4,e,,?,,1 days 00:00:00
2,nan,123,?,,?,5 days 00:00:00
nan,3.3,e,,?,alta,?
4,2.2,123,2023-01-01 00:00:00,False,,5 days 00:00:00
2,2.2,c,2023-01-01 00:00:00,True,,?
?,3.3,b,,False,,1 days 00:00:00
5,nan,d,2023-01-01 00:00:00,?,?,
2,1.1,e,2023-05-01 00:00:00,?,?,5 days 00:00:00
?,?,b,,False,,3 days 00:00:00
nan,1.1,a,,,baja,
4,1.1,,2023-03-01 00:00:00,False,,5 days 00:00:00
nan,4.4,?,2023-05-01 00:00:00,?,alta,3 days 00:00:00
2,nan,e,,,,
1,3.3,c,2023-05-01 00:00:00,True,,5 days 00:00:00
1,nan,?,2023-03-01 00:00:00,?,baja,?
nan,?,a,?,False,baja,5 days 00:00:00
?,2.2,e,?,,media,5 days 00:00:00
2,3.3,,,?,?,3 days 00:00:00
5,2.2,e,?,,alta,1 days 00:00:00
4,3.3,b,2023-03-01 00:00:00,False,,1 days 00:00:00
5,3.3,123,2023-01-01 00:00:00,True,alta,1 days 00:00:00
nan,5.5,c,2023-01-01 00:00:00,?,alta,5 days 00:00:00
4,2.2,123,2023-01-01 00:00:00,True,,3 days 00:00:00
nan,nan,?,,,media,5 days 00:00:00
1,1.1,a,2023-05-01 00:00:00,True,alta,
5,1.1,123,2023-05-01 00:00:00,?,?,5 days 00:00:00
4,2.2,e,?,,alta,5 days 00:00:00
1,1.1,e,2023-05-01 00:00:00,False,,3 days 00:00:00
1,5.5,e,2023-03-01 00:00:00,False,media,5 days 00:00:00
nan,2.2,,2023-01-01 00:00:00,True,alta,?
?,1.1,e,2023-05-01 00:00:00,False,media,?
3,?,d,,True,alta,1 days 00:00:00
1,?,c,,True,alta,?
?,nan,,2023-03-01 00:00:00,True,,?
4,4.4,a,?,,,3 days 00:00:00
nan,nan,,2023-05-01 00:00:00,?,,1 days 00:00:00
2,3.3,d,2023-03-01 00:00:00,,alta,5 days 00:00:00
1,nan,c,2023-05-01 00:00:00,?,?,1 days 00:00:00
?,4.4,,?,?,media,
?,5.5,c,,,alta,
2,2.2,?,2023-03-01 00:00:00,?,?,
?,2.2,?,2023-03-01 00:00:00,True,baja,3 days 00:00:00
5,1.1,e,2023-01-01 00:00:00,True,,
?,?,123,2023-01-01 00:00:00,?,media,1 days 00:00:00
5,1.1,123,?,?,baja,?
2,3.3,a,,,,
5,1.1,b,2023-05-01 00:00:00,,media,3 days 00:00:00
3,3.3,123,?,False,alta,1 days 00:00:00
4,3.3,b,2023-01-01 00:00:00,True,media,?
nan,1.1,,2023-03-01 00:00:00,False,baja,1 days 00:00:00
4,5.5,c,?,,?,
1,nan,,,,media,5 days 00:00:00
5,3.3,c,?,True,?,5 days 00:00:00
?,4.4,c,2023-01-01 00:00:00,True,baja,?
?,5.5,123,2023-05-01 00:00:00,,baja,
3,nan,d,,True,media,?
2,?,a,2023-05-01 00:00:00,False,baja,5 days 00:00:00
1,1.1,d,?,True,?,?
1,2.2,b,,,media,1 days 00:00:00
2,nan,d,2023-05-01 00:00:00,?,media,5 days 00:00:00
2,2.2,a,?,?,baja,?
?,nan,a,2023-05-01 00:00:00,?,media,?
2,4.4,d,,False,alta,
?,5.5,123,2023-01-01 00:00:00,?,,5 days 00:00:00
5,5.5,a,,,,1 days 00:00:00
5,5.5,d,2023-01-01 00:00:00,,baja,?
2,3.3,,2023-01-01 00:00:00,,,3 days 00:00:00
nan,1.1,c,?,True,baja,
nan,4.4,e,2023-05-01 00:00:00,,,
5,1.1,d,2023-05-01 00:00:00,?,baja,
3,1.1,,2023-05-01 00:00:00,?,baja,?
3,nan,123,2023-03-01 00:00:00,False,alta,5 days 00:00:00
2,?,,2023-03-01 00:00:00,,media,
2,?,d,,False,alta,?
5,1.1,b,2023-03-01 00:00:00,False,?,?
nan,nan,b,?,True,baja,1 days 00:00:00
3,2.2,d,2023-05-01 00:00:00,?,,
4,nan,e,?,,baja,3 days 00:00:00
nan,3.3,a,,?,,?
nan,3.3,?,2023-03-01 00:00:00,,baja,
3,?,?,2023-01-01 00:00:00,False,,?
5,1.1,c,2023-01-01 00:00:00,False,media,
5,4.4,a,,False,media,3 days 00:00:00
5,1.1,123,2023-01-01 00:00:00,?,,1 days 00:00:00
nan,5.5,?,2023-01-01 00:00:00,True,media,5 days 00:00:00
3,nan,?,?,False,alta,1 days 00:00:00
1,1.1,c,?,,media,
3,2.2,?,2023-05-01 00:00:00,,media,
5,?,?,2023-05-01 00:00:00,False,media,1 days 00:00:00
3,5.5,c,?,True,media,1 days 00:00:00
1,1.1,a,?,,,5 days 00:00:00
1,3.3,a,2023-03-01 00:00:00,True,?,
4,?,123,2023-03-01 00:00:00,,,?
1,nan,b,2023-05-01 00:00:00,False,,?
4,2.2,a,?,True,?,?
2,3.3,e,?,?,,?
4,4.4,?,2023-01-01 00:00:00,,baja,3 days 00:00:00
nan,?,?,?,?,alta,1 days 00:00:00
nan,?,c,2023-05-01 00:00:00,True,media,3 days 00:00:00
4,5.5,e,2023-01-01 00:00:00,True,,3 days 00:00:00
2,5.5,d,,True,,3 days 00:00:00
4,nan,e,2023-05-01 00:00:00,?,,
4,2.2,e,2023-05-01 00:00:00,?,?,1 days 00:00:00
?,?,a,?,?,media,1 days 00:00:00
3,nan,?,2023-01-01 00:00:00,True,baja,5 days 00:00:00
?,1.1,b,2023-03-01 00:00:00,?,?,?
5,2.2,c,?,?,,3 days 00:00:00
nan,1.1,b,,?,media,3 days 00:00:00
4,5.5,c,2023-03-01 00:00:00,True,media,5 days 00:00:00
3,?,123,2023-05-01 00:00:00,True,,
5,?,b,2023-05-01 00:00:00,False,,
nan,5.5,,2023-05-01 00:00:00,True,alta,1 days 00:00:00
?,3.3,,2023-03-01 00:00:00,False,alta,5 days 00:00:00
nan,5.5,d,2023-01-01 00:00:00,?,media,3 days 00:00:00
4,2.2,b,2023-01-01 00:00:00,False,media,5 days 00:00:00
?,1.1,,2023-05-01 00:00:00,?,baja,3 days 00:00:00
2,3.3,c,,True,?,1 days 00:00:00
3,1.1,?,?,?,?,
nan,?,d,,?,,3 days 00:00:00
?,4.4,b,,,?,
4,1.1,e,?,,?,?
1,?,a,2023-05-01 00:00:00,,,?
2,nan,c,,,,5 days 00:00:00
5,nan,e,2023-05-01 00:00:00,True,?,?
3,?,b,?,False,media,1 days 00:00:00
?,1.1,123,,?,alta,
1,3.3,d,2023-05-01 00:00:00,False,?,5 days 00:00:00
nan,3.3,,2023-03-01 00:00:00,,?,1 days 00:00:00
1,5.5,,,False,alta,?
nan,nan,?,2023-03-01 00:00:00,,alta,3 days 00:00:00
5,nan,d,2023-01-01 00:00:00,?,,5 days 00:00:00
4,3.3,e,2023-05-01 00:00:00,,alta,3 days 00:00:00
1,5.5,,2023-03-01 00:00:00,,media,3 days 00:00:00
5,2.2,d,?,?,?,5 days 00:00:00
1,?,e,2023-03-01 00:00:00,,baja,3 days 00:00:00
5,2.2,123,2023-01-01 00:00:00,?,media,1 days 00:00:00
2,?,a,2023-05-01 00:00:00,False,,3 days 00:00:00
1,nan,,?,False,media,5 days 00:00:00
5,3.3,a,2023-05-01 00:00:00,?,baja,?
3,?,b,2023-03-01 00:00:00,,,
?,5.5,c,?,?,,
?,1.1,e,,True,alta,3 days 00:00:00
?,2.2,a,2023-01-01 00:00:00,?,,1 days 00:00:00
2,2.2,123,2023-03-01 00:00:00,False,?,?
?,5.5,123,2023-05-01 00:00:00,False,,
3,3.3,e,?,?,?,?
4,5.5,a,2023-01-01 00:00:00,False,,1 days 00:00:00
1,5.5,,2023-05-01 00:00:00,True,media,5 days 00:00:00
nan,?,?,2023-05-01 00:00:00,True,?,1 days 00:00:00
2,2.2,,2023-03-01 00:00:00,,alta,3 days 00:00:00
1,?,a,2023-03-01 00:00:00,True,?,
5,1.1,,?,False,,3 days 00:00:00
4,5.5,123,2023-03-01 00:00:00,True,alta,1 days 00:00:00
?,5.5,,2023-01-01 00:00:00,False,baja,3 days 00:00:00
?,?,123,2023-03-01 00:00:00,False,,3 days 00:00:00
3,1.1,123,2023-03-01 00:00:00,False,,1 days 00:00:00
4,1.1,d,2023-05-01 00:00:00,False,baja,?
?,5.5,?,2023-01-01 00:00:00,,media,5 days 00:00:00
2,3.3,?,,?,alta,?
5,5.5,e,2023-05-01 00:00:00,?,alta,3 days 00:00:00
2,nan,c,?,?,?,?
4,3.3,c,?,?,media,
3,3.3,c,2023-03-01 00:00:00,True,media,1 days 00:00:00
5,2.2,b,,,baja,
1,1.1,e,?,True,baja,
2,2.2,b,2023-03-01 00:00:00,False,,3 days 00:00:00
4,?,?,2023-01-01 00:00:00,,,?
4,3.3,,,?,baja,?
2,5.5,,2023-03-01 00:00:00,True,media,3 days 00:00:00
nan,5.5,e,2023-05-01 00:00:00,,media,
5,1.1,,2023-03-01 00:00:00,True,?,5 days 00:00:00
?,5.5,a,2023-01-01 00:00:00,False,,1 days 00:00:00
5,5.5,e,2023-01-01 00:00:00,?,media,5 days 00:00:00
3,4.4,?,2023-01-01 00:00:00,False,?,1 days 00:00:00
5,3.3,e,2023-03-01 00:00:00,False,?,5 days 00:00:00
3,?,e,?,?,alta,?
nan,?,e,2023-03-01 00:00:00,True,baja,3 days 00:00:00
?,3.3,c,,?,,3 days 00:00:00
nan,1.1,,2023-01-01 00:00:00,?,media,3 days 00:00:00
nan,3.3,123,2023-05-01 00:00:00,?,,
3,4.4,d,2023-03-01 00:00:00,True,,?
3,?,?,2023-01-01 00:00:00,False,baja,3 days 00:00:00
1,4.4,123,2023-01-01 00:00:00,,media,
2,?,d,,,baja,5 days 00:00:00
4,2.2,b,,?,baja,5 days 00:00:00
5,2.2,a,?,?,media,5 days 00:00:00
2,4.4,,?,True,baja,?
nan,1.1,a,2023-05-01 00:00:00,True,,3 days 00:00:00
2,4.4,e,2023-05-01 00:00:00,?,alta,3 days 00:00:00
4,2.2,b,2023-03-01 00:00:00,?,?,?
1,nan,e,?,True,media,
1,5.5,123,,,alta,5 days 00:00:00
4,nan,123,?,?,alta,5 days 00:00:00
?,4.4,b,2023-05-01 00:00:00,,baja,1 days 00:00:00
1,3.3,c,2023-03-01 00:00:00,,,3 days 00:00:00
4,5.5,e,2023-05-01 00:00:00,False,alta,5 days 00:00:00
nan,2.2,123,2023-05-01 00:00:00,?,alta,?
5,?,a,?,True,baja,
5,2.2,d,2023-03-01 00:00:00,?,baja,1 days 00:00:00
5,2.2,123,2023-01-01 00:00:00,,baja,
2,4.4,,?,False,,3 days 00:00:00
?,?,a,2023-05-01 00:00:00,,media,3 days 00:00:00
2,nan,c,2023-03-01 00:00:00,False,,?
3,nan,e,,?,,
nan,?,?,2023-01-01 00:00:00,True,?,3 days 00:00:00
2,2.2,e,?,,,5 days 00:00:00
2,5.5,?,2023-03-01 00:00:00,False,media,
1,3.3,a,,,baja,1 days 00:00:00
?,1.1,e,?,False,?,?
3,2.2,123,2023-03-01 00:00:00,False,media,?
2,2.2,123,2023-05-01 00:00:00,,alta,3 days 00:00:00
3,5.5,b,,False,alta,3 days 00:00:00
nan,4.4,e,?,True,?,
1,5.5,,2023-01-01 00:00:00,False,baja,3 days 00:00:00
2,nan,b,,,alta,1 days 00:00:00
2,1.1,123,2023-03-01 00:00:00,,media,1 days 00:00:00
1,2.2,123,?,?,,
5,nan,c,2023-01-01 00:00:00,,?,5 days 00:00:00
4,nan,d,,?,alta,
1,5.5,e,2023-01-01 00:00:00,False,media,?
5,?,a,2023-03-01 00:00:00,False,baja,
5,5.5,?,2023-03-01 00:00:00,False,alta,
3,nan,c,2023-03-01 00:00:00,?,alta,5 days 00:00:00
nan,nan,123,2023-05-01 00:00:00,False,media,5 days 00:00:00
3,2.2,d,2023-01-01 00:00:00,True,media,5 days 00:00:00
4,nan,a,?,?,?,3 days 00:00:00
5,4.4,,2023-05-01 00:00:00,True,,5 days 00:00:00
5,3.3,123,,?,,?
nan,1.1,e,?,?,media,?
4,5.5,?,?,?,?,
3,nan,123,2023-01-01 00:00:00,?,media,3 days 00:00:00
4,3.3,,2023-01-01 00:00:00,True,media,
1,nan,,2023-01-01 00:00:00,False,media,5 days 00:00:00
2,4.4,a,?,False,?,1 days 00:00:00
nan,4.4,?,2023-05-01 00:00:00,?,?,5 days 00:00:00
2,1.1,b,2023-05-01 00:00:00,,alta,1 days 00:00:00
3,5.5,?,?,False,media,1 days 00:00:00
3,?,?,2023-05-01 00:00:00,False,media,5 days 00:00:00
4,4.4,,,False,?,?
nan,nan,a,2023-05-01 00:00:00,False,baja,?
3,4.4,d,2023-03-01 00:00:00,?,baja,?
5,nan,d,2023-03-01 00:00:00,False,,?
?,4.4,?,2023-03-01 00:00:00,?,?,3 days 00:00:00
